iteration;temperature;score
1486;287,9788580358263;334740,17042523174
1975;274,23478599878797;335010,79139785765
3328;239,52980532510674;334880,1913361435
4481;213,4434853153737;334706,1897528828
4964;203,37868338745284;334700,05899247824
5652;284,8125799010749;334907,48918749695
5938;276,78192436673515;335877,0862200474
6691;256,70463767132884;335921,8486396197
6947;250,2160823967672;336045,7092023614
7786;230,0785284864753;336301,5905348887
9685;190,2827612977125;336475,2472831932
10260;269,5013558004148;336382,46518201433
10413;265,4091655313851;336864,4981808029
11985;226,79914353838504;337300,662107205
12104;224,11609537591383;336264,6902787454
12143;223,24370125785973;336306,081746526
12802;209,00552986277305;336634,57595983526
12960;205,72903116818293;336342,99813674024
15096;249,26444290813984;336529,9616585578
15135;248,29415635434114;336778,19366543513
15512;239,10726827924915;336734,454789216
15606;236,87007935801088;336911,65497648186
16651;213,36548283357817;336974,7579355577
17430;197,3744491820732;337220,2106095428
17570;194,63032338832008;336964,3292770155
17613;193,79516811003788;336746,5592544407
18071;185,11911386879095;336970,56419061293
18580;175,93188999443925;337066,5884341194
19158;166,0508457704106;337243,7886213853
19386;162,30753522532902;337537,9747766271
20925;208,75270438766793;337519,8136994952
21435;198,372736510714;337607,50313693343
22594;176,6626484931839;338044,9781569085
23072;168,41641664662401;338187,05678410776
23621;159,41914055300666;337938,82477723045
23921;154,70736083512028;337834,2536081924
24842;141,09462047217642;337807,2124294881
25345;201,27926672230953;337926,3765464786
26325;182,48873226557996;337839,24801302236
26502;179,28694105893706;338222,3432025069
26512;179,10773477549094;338500,1800866263
27795;157,54026550880923;338608,9301016041
27900;155,89466496212142;338920,55113619857
28920;140,7767713970827;338961,9426039792
30305;183,870856049596;338839,1427912451
31807;158,22627541346284;338881,0147669995
32675;145,0707843298796;339274,8042222179
33672;131,30420487848315;339261,46351406886
33817;129,41393695582255;339405,2031450403
38274;124,32000257596786;339383,2882892905
40451;150,01167654840077;339380,5972311256
40778;145,1853932115192;338411,00019857514
41236;138,68555960460182;338494,4132308284
42438;122,97771979176338;338917,9058254321
43190;114,06853349924299;338902,06775072846
44119;103,94841780945086;338656,61507674336
45651;133,7874365562696;338911,2179640125
47809;107,81765875237483;338927,05603871617
48054;105,20809334657532;338928,694001358
51644;110,22099460258173;339070,5801183496
52603;100,1413408822714;339140,54536349996
57020;96,58520996313507;339221,7208987881
57632;90,85116002369391;339251,3869263024
57970;87,83155858169737;339253,7295837533
58154;86,23015591972808;339388,5689352546
58901;80,02317001257835;338872,32684096333
60645;100,83369851423292;339014,5485760898
64628;67,70450315968074;339168,57813661307
65617;92,00223423121656;339087,40260132495
66446;84,68247864807991;339232,3159026491
67545;75,86862463226034;339238,44666305365
71144;79,41206732610478;339205,26985185524
72989;66,03210826066967;339214,16267047054
73765;61,101549887812;339197,9349044537
74085;59,177158551744405;339181,305935856
